,macd
196,10.516068004932578
197,10.247229468181615
198,10.139137198501032
199,9.829375775751402
200,8.882311248601297
201,8.051820305009414
202,7.134931470541773
203,6.92902560066139
204,6.45769745293444
205,6.445830587198969
206,6.186656463130589
207,6.653880282756461
208,6.3978419572625285
209,6.54939462812672
210,7.06259969506371
211,7.39537906015434
212,7.474725457781119
213,8.818852284331882
214,10.497387480760722
215,12.601658155090206
216,14.00083053610328
217,15.301527483111755
218,15.76605266741143
219,17.051408261895148
220,20.258760195008847
221,22.89135034280116
222,26.076275059786667
223,26.323662014564775
224,25.71652640450486
225,25.514114021816596
226,26.09499194103725
227,23.990675754070168
228,21.614503563960653
229,20.057013581502304
230,18.173995333142642
231,17.533858248609164
232,15.792577041584337
233,11.999710354243149
234,6.82635195960961
235,2.294760828053171
236,-1.0184110472377768
237,-4.195366831233571
238,-6.9391720572770055
239,-8.409729082325072
240,-9.552761238217812
241,-10.298908954882222
242,-10.453735247434935
243,-9.182320041419104
244,-8.81547203919348
245,-11.686222157009126
246,-13.269125168300178
247,-13.727072736744475
248,-14.378005479540064
249,-21.822171382735036
250,-25.507733486076205
251,-28.931364713320818
252,-31.192730682417903
253,-33.54718249250982
254,-34.83607816061857
255,-35.40643633080231
256,-33.650151789444834
257,-32.102546917651864
258,-29.6030833369407
259,-28.138239169087598
260,-25.68300327491039
261,-23.15453988988125
262,-19.433807396884077
263,-16.33460370505054
264,-13.839532802265325
265,-11.880947497091455
266,-10.127673046040968
267,-7.924753895034399
268,-5.887469570284821
269,-4.247021751104825
270,-1.9657367738278708
271,-0.03307226048013945
272,1.7235795552010984
273,2.838335980076323
274,5.974735261887929
275,8.089430413183806
276,9.498148765775994
277,10.590934338012175
278,10.169975809898887
279,9.816908738117661
280,9.383039434549318
281,8.484283028114447
282,7.733949838418624
283,6.741039469111939
284,7.512257870433814
285,7.90347148010062
286,9.386726837404098
287,9.546702306667072
288,8.797077883381036
289,7.928143164126169
290,8.034170218280337
291,8.385352642247199
292,8.86762470470211
293,9.538261211085143
294,10.225519711311051
295,10.575544211542109
296,10.896444230343064
297,12.332298339214844
298,12.437878076401034
299,12.644253330991972
300,12.774921844745478
301,12.728995441191245
302,12.239491160957556
303,11.458428654117512
304,10.386302259326499
305,9.919449103782085
306,9.322698177507021
307,8.556773062343495
308,5.701901827416464
309,3.0862203516623765
310,0.8267899437668405
311,0.21229883205941746
312,-0.13030819550724004
313,-0.9765925447194093
314,-1.1911699750953915
315,-0.8593698417901408
316,0.03975135151029008
317,0.7497558231064545
318,0.8253172921347698
